subj_id,RT,is_go_decision,tta_condition,d_condition,num_decision
631,1.5612,True,5.5,70,1
631,1.703,True,6.5,70,1
631,1.8139,True,6.5,90,1
631,1.5848,True,6.5,90,1
631,1.4531,True,5.5,70,1
631,1.452,True,6.5,70,1
631,1.7192,True,6.5,70,1
631,1.5902,True,5.5,90,1
631,1.4897,True,6.5,90,1
631,1.3658,True,6.5,90,1
631,1.7438,True,5.5,90,1
631,1.1873,True,5.5,90,1
631,1.304,True,5.5,90,1
631,1.4916,True,6.5,90,1
631,1.5099,True,5.5,70,1
631,1.3349,True,6.5,90,1
631,1.6114,True,5.5,90,1
631,1.3725,True,6.5,70,1
631,1.7172,True,5.5,70,1
631,1.3149,True,6.5,90,1
631,1.5475,True,6.5,90,1
631,1.4478,True,5.5,70,1
631,1.5131,True,5.5,90,1
631,1.4583,True,5.5,90,1
631,1.5797,True,6.5,70,1
631,1.625,True,6.5,70,1
631,1.6342,True,6.5,70,1
631,1.4251,True,5.5,90,1
631,1.73689999999999,True,6.5,70,1
631,1.3877,True,5.5,70,1
631,1.5332,True,6.5,90,1
631,1.2871,True,5.5,90,1
631,1.2405,True,6.5,90,1
631,2.1779,False,5.5,70,2
631,1.5139,True,5.5,90,1
631,1.5383,True,6.5,70,1
631,1.6556,True,6.5,70,1
631,1.2479,True,5.5,70,1
631,1.3733,True,6.5,90,1
631,1.3438,True,5.5,70,1
631,1.2506,True,5.5,90,1
631,2.3085,False,6.5,70,2
631,1.6809,True,5.5,90,1
631,1.5099,True,6.5,90,1
631,1.6064,True,5.5,90,1
631,1.3387,True,6.5,70,1
631,1.5733,True,6.5,90,1
631,1.4993,True,5.5,90,1
631,1.476,True,5.5,70,1
631,2.3475,False,6.5,70,2
631,2.1852,False,5.5,70,2
631,1.7554,True,5.5,90,1
631,1.5403,True,5.5,90,1
631,1.0945,True,6.5,70,1
631,1.2035,True,6.5,90,1
631,1.5839,True,6.5,90,1
631,1.4402,True,6.5,90,1
631,1.3004,True,5.5,70,1
631,1.3015,True,6.5,70,1
631,1.1418,True,5.5,70,1
631,1.6728,True,6.5,90,1
631,1.0522,True,6.5,70,1
631,1.1201,True,5.5,70,1
631,1.3196,True,6.5,90,1
631,1.1979,True,6.5,90,1
631,1.1805,True,6.5,70,1
631,1.155,True,6.5,90,1
631,1.2329,True,5.5,70,1
631,1.1668,True,5.5,70,1
631,1.2887,True,6.5,70,1
631,1.0577,True,6.5,70,1
631,1.4523,True,5.5,90,1
631,1.0679,True,5.5,90,1
658,2.1148,False,5.5,70,2
658,1.9885,True,5.5,90,1
658,1.9864,True,6.5,90,1
658,2.3954,False,6.5,70,2
658,2.15,True,6.5,90,1
658,2.2571,False,6.5,70,2
658,1.7956,True,5.5,90,1
658,2.1175,False,5.5,70,2
658,1.9737,True,5.5,90,1
658,2.0809,False,5.5,70,2
658,1.9553,True,6.5,90,1
658,2.176,False,6.5,70,2
658,2.3651,False,6.5,90,2
658,2.3521,False,5.5,70,2
658,1.7161,True,6.5,70,1
658,1.7551,True,5.5,90,1
658,1.8526,True,6.5,90,1
658,2.2659,False,5.5,90,2
658,1.7685,True,6.5,70,1
658,2.2727,False,5.5,70,2
658,1.9144,True,5.5,90,1
658,1.7929,True,6.5,90,1
658,1.8611,False,5.5,70,2
658,2.3121,False,6.5,70,2
658,1.8404,False,5.5,70,2
658,1.7732,True,5.5,90,1
658,1.7645,True,6.5,90,1
